date,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1755820800000,2.9235,2.9236,2.9208,2.9208,237,1755821099999,811.04764507,8,19,64.99059347,0
1755821100000,2.9283,2.9288,2.9264,2.9264,77,1755821399999,263.03242043,4,40,136.59720993,0
1755821400000,2.9264,2.9264,2.9264,2.9264,0,1755821699999,0,0,0,0,0
1755821700000,2.9264,2.9264,2.9264,2.9264,0,1755821999999,0,0,0,0,0
1755822000000,2.9264,2.9264,2.9264,2.9264,0,1755822299999,0,0,0,0,0
1755822300000,2.9264,2.9264,2.9264,2.9264,0,1755822599999,0,0,0,0,0
1755822600000,2.9324,2.9324,2.9324,2.9324,19,1755822899999,64.79334334,19,19,64.79334334,0
1755822900000,2.9374,2.9374,2.9374,2.9374,36,1755823199999,122.55736365,1,36,122.55736365,0
1755823200000,2.9374,2.9374,2.9374,2.9374,0,1755823499999,0,0,0,0,0
1755823500000,2.9288,2.9288,2.9186,2.9186,510,1755823799999,1745.91102584,12,0,0,0
1755823800000,2.9182,2.9182,2.9182,2.9182,20,1755824099999,68.53539853,1,0,0,0
1755824100000,2.9182,2.9182,2.9182,2.9182,0,1755824399999,0,0,0,0,0
1755824400000,2.9290,2.9290,2.9277,2.9277,21,1755824699999,71.69834085,2,0,0,0
1755824700000,2.9157,2.9157,2.9090,2.9090,27,1755824999999,92.65663893,8,0,0,0
1755825000000,2.9090,2.9090,2.9090,2.9090,0,1755825299999,0,0,0,0,0
1755825300000,2.9235,2.9235,2.9235,2.9235,19,1755825599999,64.99059347,1,19,64.99059347,0
1755825600000,2.9235,2.9235,2.9235,2.9235,0,1755825899999,0,0,0,0,0
1755825900000,2.9235,2.9235,2.9235,2.9235,0,1755826199999,0,0,0,0,0
1755826200000,2.9205,2.9205,2.9203,2.9203,57,1755826499999,195.17674961,2,57,195.17674961,0
1755826500000,2.9214,2.9225,2.9214,2.9225,40,1755826799999,136.89488669,2,40,136.89488669,0
1755826800000,2.9221,2.9221,2.9221,2.9221,20,1755827099999,68.44392731,1,20,68.44392731,0
1755827100000,2.9221,2.9221,2.9221,2.9221,0,1755827399999,0,0,0,0,0
1755827400000,2.9284,2.9284,2.9284,2.9284,2,1755827699999,6.82966808,2,2,6.82966808,0
1755827700000,2.9262,2.9262,2.9256,2.9256,2,1755827999999,6.83550368,2,0,0,0
1755828000000,2.9241,2.9276,2.9196,2.9276,388,1755828299999,1326.64825146,173,157,536.80383784,0
1755828300000,2.9279,2.9336,2.9279,2.9327,651,1755828599999,2220.67482663,585,651,2220.67482663,0
1755828600000,2.9329,2.9381,2.9329,2.9381,732,1755828899999,2493.02408044,732,732,2493.02408044,0
1755828900000,2.9381,2.9431,2.9381,2.9431,250,1755829199999,850.29935137,134,250,850.29935137,0
1755829200000,2.9454,2.9505,2.9454,2.9505,118,1755829499999,400.22152688,5,86,291.66231122,0
1755829500000,2.9498,2.9518,2.9486,2.9504,288,1755829799999,976.11509324,15,129,437.08174871,0
1755829800000,2.9497,2.9497,2.9473,2.9473,155,1755830099999,525.70258051,8,10,33.90635066,0
1755830100000,2.9414,2.9414,2.9396,2.9396,99,1755830399999,336.72476125,21,0,0,0
1755830400000,2.9373,2.9373,2.9304,2.9304,946,1755830699999,3225.60177444,44,0,0,0
1755830700000,2.9303,2.9307,2.9258,2.9258,199,1755830999999,679.36385538,26,100,341.24684901,0
1755831000000,2.9322,2.9322,2.9316,2.9316,4,1755831299999,13.64314653,4,0,0,0
1755831300000,2.9288,2.9288,2.9286,2.9286,2,1755831599999,6.82896849,2,0,0,0
1755831600000,2.9238,2.9238,2.9225,2.9225,91,1755831899999,311.30023738,3,0,0,0
1755831900000,2.9225,2.9225,2.9225,2.9225,0,1755832199999,0,0,0,0,0
1755832200000,2.9225,2.9225,2.9225,2.9225,0,1755832499999,0,0,0,0,0
1755832500000,2.9225,2.9225,2.9225,2.9225,0,1755832799999,0,0,0,0,0
1755832800000,2.9225,2.9225,2.9225,2.9225,0,1755833099999,0,0,0,0,0
1755833100000,2.9166,2.9170,2.9155,2.9155,130,1755833399999,445.86206587,5,0,0,0
1755833400000,2.9146,2.9148,2.9078,2.9148,688,1755833699999,2364.42657884,30,567,1949.00209020,0
1755833700000,2.9093,2.9097,2.9082,2.9082,389,1755833999999,1337.07808415,13,352,1209.86072181,0
1755834000000,2.9057,2.9057,2.8949,2.8966,701,1755834299999,2418.12145884,31,437,1507.43005372,0
1755834300000,2.9030,2.9030,2.9030,2.9030,30,1755834599999,103.34137100,30,0,0,0
1755834600000,2.9025,2.9025,2.8944,2.8944,29,1755834899999,100.04642270,29,0,0,0
1755834900000,2.8963,2.8993,2.8963,2.8989,80,1755835199999,276.05560092,51,0,0,0
1755835200000,2.9036,2.9057,2.9010,2.9057,163,1755835499999,561.41129071,92,19,65.38871873,0
1755835500000,2.9057,2.9057,2.9057,2.9057,0,1755835799999,0,0,0,0,0
1755835800000,2.9057,2.9057,2.9057,2.9057,0,1755836099999,0,0,0,0,0
1755836100000,2.9146,2.9251,2.9146,2.9251,179,1755836399999,612.44222910,9,149,509.85006714,0
1755836400000,2.9251,2.9251,2.9251,2.9251,0,1755836699999,0,0,0,0,0
1755836700000,2.9251,2.9251,2.9251,2.9251,0,1755836999999,0,0,0,0,0
1755837000000,2.9251,2.9251,2.9251,2.9251,0,1755837299999,0,0,0,0,0
1755837300000,2.9284,2.9345,2.9284,2.9337,475,1755837599999,1619.06727939,14,22,75.03528194,0
1755837600000,2.9283,2.9283,2.9283,2.9283,1,1755837899999,3.41495065,1,0,0,0
1755837900000,2.9283,2.9283,2.9283,2.9283,0,1755838199999,0,0,0,0,0
1755838200000,2.9273,2.9273,2.9235,2.9235,20,1755838499999,68.40671071,2,0,0,0
1755838500000,2.9198,2.9198,2.9198,2.9198,1,1755838799999,3.42489212,1,0,0,0
1755838800000,2.9198,2.9198,2.9198,2.9198,0,1755839099999,0,0,0,0,0
1755839100000,2.9324,2.9324,2.9324,2.9324,19,1755839399999,64.79334334,2,19,64.79334334,0
1755839400000,2.9324,2.9324,2.9324,2.9324,0,1755839699999,0,0,0,0,0
1755839700000,2.9289,2.9289,2.9271,2.9271,5,1755839999999,17.07487078,5,0,0,0
1755840000000,2.9304,2.9304,2.9304,2.9304,1,1755840299999,3.41250341,1,0,0,0
1755840300000,2.9304,2.9304,2.9304,2.9304,0,1755840599999,0,0,0,0,0
1755840600000,2.9304,2.9304,2.9304,2.9304,0,1755840899999,0,0,0,0,0
1755840900000,2.9388,2.9418,2.9388,2.9418,82,1755841199999,278.77534936,6,82,278.77534936,0
1755841200000,2.9324,2.9324,2.9262,2.9262,49,1755841499999,167.23417653,11,0,0,0
1755841500000,2.9262,2.9262,2.9262,2.9262,0,1755841799999,0,0,0,0,0
1755841800000,2.9412,2.9414,2.9412,2.9414,21,1755842099999,71.39503637,2,21,71.39503637,0
1755842100000,2.9414,2.9414,2.9414,2.9414,0,1755842399999,0,0,0,0,0
1755842400000,2.9414,2.9414,2.9414,2.9414,0,1755842699999,0,0,0,0,0
1755842700000,2.9324,2.9355,2.9284,2.9322,306,1755842999999,1043.43909013,82,0,0,0
1755843000000,2.9324,2.9344,2.9305,2.9344,32,1755843299999,109.16869086,32,0,0,0
1755843300000,2.9388,2.9388,2.9388,2.9388,31,1755843599999,105.48523207,1,0,0,0
1755843600000,2.9412,2.9431,2.9412,2.9421,61,1755843899999,207.31769932,43,21,71.39503637,0
1755843900000,2.9406,2.9406,2.9361,2.9361,4,1755844199999,13.61772222,4,0,0,0
1755844200000,2.9337,2.9337,2.9235,2.9235,63,1755844499999,215.22112380,7,0,0,0
1755844500000,2.9188,2.9188,2.9188,2.9188,5,1755844799999,17.13032753,1,0,0,0
1755844800000,2.9166,2.9167,2.9157,2.9163,43,1755845099999,147.43876103,4,0,0,0
1755845100000,2.9257,2.9257,2.9206,2.9206,109,1755845399999,373.16224309,109,0,0,0
1755845400000,2.9211,2.9211,2.9196,2.9196,7,1755845699999,23.97037531,7,0,0,0
1755845700000,2.9241,2.9241,2.9208,2.9208,5,1755845999999,17.10641812,5,0,0,0
1755846000000,2.9284,2.9332,2.9284,2.9332,41,1755846299999,139.80792891,3,41,139.80792891,0
1755846300000,2.9332,2.9332,2.9332,2.9332,0,1755846599999,0,0,0,0,0
1755846600000,2.9388,2.9413,2.9381,2.9381,63,1755846899999,214.27280967,5,43,146.20160719,0
1755846900000,2.9358,2.9358,2.9325,2.9325,6,1755847199999,20.44885678,6,0,0,0
1755847200000,2.9414,2.9414,2.9414,2.9414,19,1755847499999,64.59509077,2,19,64.59509077,0
1755847500000,2.9386,2.9389,2.9386,2.9389,40,1755847799999,136.11229300,2,40,136.11229300,0
1755847800000,2.9389,2.9389,2.9389,2.9389,0,1755848099999,0,0,0,0,0
1755848100000,2.9389,2.9389,2.9389,2.9389,0,1755848399999,0,0,0,0,0
1755848400000,2.9389,2.9389,2.9389,2.9389,0,1755848699999,0,0,0,0,0
1755848700000,2.9389,2.9389,2.9389,2.9389,0,1755848999999,0,0,0,0,0
1755849000000,2.9389,2.9389,2.9389,2.9389,0,1755849299999,0,0,0,0,0
1755849300000,2.9324,2.9324,2.9324,2.9324,19,1755849599999,64.79334334,19,0,0,0
1755849600000,2.9324,2.9324,2.9324,2.9324,0,1755849899999,0,0,0,0,0
1755849900000,2.9380,2.9380,2.9380,2.9380,31,1755850199999,105.51395507,31,0,0,0
1755850200000,2.9409,2.9409,2.9409,2.9409,1,1755850499999,3.40031963,1,0,0,0
1755850500000,2.9394,2.9414,2.9391,2.9414,21,1755850799999,71.39954771,4,19,64.59509077,0
1755850800000,2.9451,2.9451,2.9436,2.9436,8,1755851099999,27.17068347,8,0,0,0
1755851100000,2.9436,2.9436,2.9436,2.9436,0,1755851399999,0,0,0,0,0
1755851400000,2.9408,2.9408,2.9389,2.9389,21,1755851699999,71.45310802,2,1,3.40043526,0
1755851700000,2.9389,2.9389,2.9389,2.9389,0,1755851999999,0,0,0,0,0
1755852000000,2.9370,2.9370,2.9370,2.9370,1,1755852299999,3.40483487,1,0,0,0
1755852300000,2.9324,2.9355,2.9307,2.9352,382,1755852599999,1302.57541528,29,265,903.52421651,0
1755852600000,2.9352,2.9352,2.9352,2.9352,0,1755852899999,0,0,0,0,0
1755852900000,2.9352,2.9352,2.9352,2.9352,0,1755853199999,0,0,0,0,0
1755853200000,2.9387,2.9387,2.9357,2.9357,60,1755853499999,204.24840910,3,20,68.12685220,0
1755853500000,2.9357,2.9357,2.9357,2.9357,0,1755853799999,0,0,0,0,0
1755853800000,2.9357,2.9357,2.9357,2.9357,0,1755854099999,0,0,0,0,0
1755854100000,2.9312,2.9312,2.9312,2.9312,21,1755854399999,71.64301310,21,0,0,0
1755854400000,2.9321,2.9321,2.9275,2.9275,60,1755854699999,204.74157002,5,0,0,0
1755854700000,2.9283,2.9283,2.9283,2.9283,1,1755854999999,3.41495065,1,0,0,0
1755855000000,2.9283,2.9332,2.9256,2.9256,731,1755855299999,2496.17256988,641,14,47.80930916,0
1755855300000,2.9254,2.9254,2.9210,2.9235,235,1755855599999,804.09372645,92,30,102.63779123,0
1755855600000,2.9236,2.9236,2.9236,2.9236,20,1755855899999,68.40881105,1,20,68.40881105,0
1755855900000,2.9236,2.9236,2.9236,2.9236,0,1755856199999,0,0,0,0,0
1755856200000,2.9308,2.9308,2.9308,2.9308,20,1755856499999,68.24075338,1,20,68.24075338,0
1755856500000,2.9308,2.9308,2.9308,2.9308,0,1755856799999,0,0,0,0,0
1755856800000,2.9250,2.9250,2.9236,2.9236,623,1755857099999,2130.81986498,8,0,0,0
1755857100000,2.9236,2.9236,2.9236,2.9236,0,1755857399999,0,0,0,0,0
1755857400000,2.9236,2.9236,2.9236,2.9236,0,1755857699999,0,0,0,0,0
1755857700000,2.9167,2.9167,2.9093,2.9117,573,1755857999999,1967.06753681,41,515,1767.94009781,0
1755858000000,2.9117,2.9117,2.9117,2.9117,0,1755858299999,0,0,0,0,0
1755858300000,2.9153,2.9153,2.9153,2.9153,1,1755858599999,3.43017871,1,1,3.43017871,0
1755858600000,2.9103,2.9103,2.9046,2.9046,34,1755858899999,116.95261821,34,0,0,0
1755858900000,2.9030,2.9030,2.9030,2.9030,2,1755859199999,6.88942473,2,0,0,0
1755859200000,2.9034,2.9034,2.9034,2.9034,1,1755859499999,3.44423779,1,0,0,0
1755859500000,2.9047,2.9047,2.8990,2.8991,419,1755859799999,1443.81359510,419,0,0,0
1755859800000,2.9012,2.9062,2.8988,2.9006,1021,1755860099999,3519.17200548,145,276,949.92231191,0
1755860100000,2.8990,2.9002,2.8984,2.9002,23,1755860399999,79.31022840,4,20,68.96076133,0
1755860400000,2.8996,2.9010,2.8996,2.9010,382,1755860699999,1317.13985541,14,382,1317.13985541,0
1755860700000,2.8975,2.8975,2.8855,2.8855,200,1755860999999,690.90623781,48,30,103.63052264,0
1755861000000,2.8868,2.8891,2.8861,2.8861,214,1755861299999,740.95531489,14,213,737.49043149,0
1755861300000,2.8861,2.8861,2.8861,2.8861,0,1755861599999,0,0,0,0,0
1755861600000,2.8922,2.8922,2.8852,2.8861,216,1755861899999,748.23014777,21,173,599.51873295,0
1755861900000,2.8921,2.8921,2.8921,2.8921,162,1755862199999,560.14660627,1,162,560.14660627,0
1755862200000,2.8891,2.8891,2.8856,2.8864,105,1755862499999,363.72218038,10,80,277.16427185,0
1755862500000,2.8793,2.8793,2.8793,2.8793,19,1755862799999,65.98826104,1,0,0,0
1755862800000,2.8778,2.8786,2.8776,2.8786,152,1755863099999,528.04967000,6,149,517.62479856,0
1755863100000,2.8815,2.8828,2.8805,2.8805,87,1755863399999,301.97499003,18,72,249.90587675,0
1755863400000,2.8804,2.8816,2.8783,2.8783,120,1755863699999,416.62175166,66,57,197.93405311,0
1755863700000,2.8783,2.8783,2.8783,2.8783,0,1755863999999,0,0,0,0,0
1755864000000,2.8755,2.8755,2.8739,2.8739,36,1755864299999,125.23434079,2,36,125.23434079,0
1755864300000,2.8722,2.8722,2.8597,2.8622,411,1755864599999,1433.76758193,49,223,778.41156933,0
1755864600000,2.8627,2.8640,2.8627,2.8640,82,1755864899999,286.40590318,4,82,286.40590318,0
1755864900000,2.8650,2.8675,2.8636,2.8675,642,1755865199999,2240.93786940,52,61,212.77034509,0
1755865200000,2.8688,2.8697,2.8688,2.8689,24,1755865499999,83.65259853,15,0,0,0
